listo; fertig
cuántos; Wie viele, wie vielen
cuántas; wie viele
cebolla; Zwiebel
ajo; Knoblauch
limón; Limone, zitrone, Zitrone
cuánta; Wie viel, wie viel
harina; Mehl
medio; halb
pimienta; Pfeffer
kilo; Kilo
ayuda; Hilfe
litro; liter, Liter
picante; scharf
aceite; Öl
tradicional; traditionell, traditionelles
receta; Rezept
tortilla; Tortilla
ingrediente; Zutat
tienes; hast
al; in den, die, der
diez; zehn
manejar; fahren
farmacia; Apotheke
puerto; Hafen
entre; zwischen
quién; wen, Wer, wer
va; wird, geht's, geht
a pie; zu Fuß
cuadra; Block
cinco; fünf
cuándo; wann
sale; fährt ab
pronto; bald
hora; Stunde, Zeitangabe, Zeit
cuánto; wie viel
cómo; wie
cuesta; kostet, Kostet
metro; Metro
a tiempo; pünktlich
tren; Eisenbahn, Bahn, Zug
tomar; nehmen, trinken, trinke
al lado de; Bei
autobús; Bus
llegar; ankommen
muchas gracias; vielen Dank, Vielen Dank
me alegro; freue
todos; alle
relajado; entspannte, entspannt
sorprendido; überrascht
qué pena; schade
preocupado; besorgt
triste; traurig
pocos; wenig
estamos; sind, befinden uns, sein
qué suerte; Was für ein Glück
emocionado; aufgeregt
feria; Messe
por qué; warum
contento; zufrieden
organizar; organisieren
nervioso; nervös, aufgeregt
competencia; Fachkenntnis, Kompetenz, Konkurrenz
estás; Du bist, Bist, bist
yo también; auch, ich auch
estoy; Ich bin, bin, sein
festival; Festival, Festspiele
está bien; Gut
nuestras; unsere, Unsere
nuestros; unsere, unserer, unseren
estudiante; Student
mapa; Karte, Stadtkarte, Landkarte
lindo; schön
calificación; Noten
pluma; Stift
diccionario; Wörterbuch
cierto; wahr
usar; benutzen, gebrauchen, verwenden
copia; Kopie
qué; was
nuestra; unsere, unserer, unser
computadora; Computer, Rechner, PC
borrador; Radiergummi
seguro; Versicherung, sicheres, sicheren
ni idea; Ahnung
nuestro; unsere, unserem, unserer
creativo; kreatives, kreativer, kreative
lápiz; Bleistift
proyecto; Projekt, Projekts
rápido; schnell
sus; Ihre, seiner, eure
regalo; Geschenk
ropa; Kleidung
comprar; kaufen
preparar; vorbereiten, bereitstellen, herrichten
merienda; Snack
vaso; Glas
cuarto; Zimmer
a veces; manchmal
baño; Badezimmer
encima de; auf
mesa; Tisch
caja; Kiste
tus; deine, Deine, Dein
mis; meine, meinen
lavar; abwaschen
plato; Teller, teller, Gericht
nunca; nie, niemals
limpiar; putzen
fiesta; Party
cocina; Küche
espere; warten Sie
minuto; Minute
aguacate; Avocado
señor; Herr, Mann, Herrn
fresa; Erdbeere
pera; Birne
unas; eine
señora; meine Dame
zanahoria; Karotte
manzana; Apfel
pimiento; Paprika
ensalada; Salat
pepino; Gurke
almuerzo; Mittagessen
ahora mismo; sofort, soeben, jetzt
unos; einige
para; auf, zu, um ... zu
plátano; Banane
adiós; auf Wiedersehen
moderno; modern, modernes
empresa; Firma
juntos; zusammen
universidad; Uni, Hochschule, Universität
mujer; Frau
peluquería; Friseursalon
oficina; Büro, Amt
jefa; Leiterin, Chefin
hombre; Mann
abogado; Anwalt
trabajador; fleißig
jefe; Chef
hospital; Krankenhaus, Klinikum, Klinik
viejo; alt
en oferta; im Angebot
morado; lila
blusa; Bluse
amarillo; gelb
collar; Halskette
aquí tiene; Hier haben Sie
largo; lang, langen, lange
bufanda; Schal
blanco; weiß
en serio; wirklich
barato; billig
falda; Rock
camisa; Hemd
rojo; rotes, rot, rote
negro; schwarz
traje; Anzug
sombrero; Hut
bolso; Tasche
cinturón; Gürtel
necesitar; brauchen
a; mit, auf, in
playa; Strand
montaña; Berg
kilómetro; Kilometer
lago; See, Sees
a la izquierda; links
cerca de; bei, in der Nähe
oficina de información; Informationsbüro, Informationsbüros
centro; Zentrum
a la derecha; rechts
estación de tren; Bahnhof
plaza; Platz, Stelle, Platzes
lejos de; Weit von, Weit vom
están; stehen, befinden sich, Sie sind
enfrente de; vor, gegenüber
bastante; ziemlich
cine; Kino
buscar; suchen
salida; Ausgang
taxi; Taxi
parada de taxi; Taxistand
aeropuerto; Flughafen, Flugplatz
excelente; ausgezeichnet
postre; Nachtisch
grosero; unhöflich
lugar; Ort
silla; Stuhl
cómodo; bequem
simpáticos; nett
mesero; Kellner
tomate; tomate, Tomate
comida; Essen
malo; schlecht
pizza; Pizza
son; sind, Es sind, seid
precio; Preis
caro; teuer
bar; Bar, Kneipe
desayuno; Frühstück
sin gluten; glutenfrei
batido; Shake
galleta; Keks
cuenta; Rechnung
pastel; Kuchen
azúcar; Zucker
lo siento; es tut mir leid
leche; Milch
papa; Kartoffel
verdura; Gemüse
sal; Salz
sin; ohne
frijol; Bohne
disculpe; Entschuldigen Sie
las; die, den, der
hielo; Eis
hamburguesa; Hamburger
bebida; Getränk
claro; natürlich
los; die, der, sie
llevar; bringst, tragen, bringen
huevo; Ei
carne; Fleisch
queso; Käse
química; Chemie, Chemikerin
matemáticas; Mathematik, Mathematikkurs
un poco; bisschen
biblioteca; Bibliothek, Bücherei
tarea; Auftrag, Arbeit, Aufgabe
director; Leiter, Direktor, Regisseur
en grupo; in einer Gruppe
compañero; Klassenkamerad
repasar; wiederholen
lección; Lektion
fácil; einfach
geografía; Geographie, Geografie
de; aus, Aus, der
súper; super, Super
japonés; Japanisch
difícil; schwer
ejercicio; Aufgabe
en línea; online
la; vor, die, der
chino; Chinesisch
literatura; Literatur
clase; Unterricht, Art, Unterrichtsstunde
ruso; Russisch
historia; Geschichte
el; den, die, der
así es; So ist es, so ist es
trabajar; arbeiten
maestro; Lehrer
colegio; Schule
cuatro; vier
árabe; Arabisch
aburrido; langweilig
España; Spanien
pódcast; Podcast, Lieblingspodcast
pasear; spazieren gehen
favorito; Lieblingscharakter, Lieblingsbuch, Lieblingspodcast
persona; Person, Mensch, Menschen
entonces; dann, denn, Also
son de; sind aus, seid aus
empieza; beginnt, fängt an, beginnen
mañana; morgen
curso; Lauf, Kurs
interesante; interessant
perdón; Verzeihung, Entschuldigung, entschuldigung
tango; Tango
mal; schlecht
yoga; Yoga
enseñar; unterrichten
dibujar; zeichnen
patinar; Inlineskates fahren
vecino; Nachbar
porque; weil
siempre; immer
atlético; athletisch
caminar; spazieren
descansar; ausruhen
entrenador; Trainer, Coach
honestamente; Ehrlich, Ehrlich gesagt, ehrlich
béisbol; Baseball
ah; oh, Ah
ellos; sie
perezoso; faul
básquetbol; Basketball
ya no; mehr, nicht mehr
ellas; sie
a menudo; oft, häufig, oftmals
esquiar; Ski fahren
todos los días; jeden Tag, täglich
tenis; Tennis
equipo; Gerät, Mannschaft, Team
piscina; Swimmingpool
nadar; schwimmen
frecuentemente; häufig, oft, oftmals
al aire libre; im Freien
fútbol; Fußball
practicar; üben, treiben
entrenar; trainieren
gimnasio; Fitnessstudio
arroz; Reis
por la tarde; Nachmittag
con pollo; mit Huhn
cocinar; kochen
sopa; Suppe
pasta; Nudeln, Pasta
nosotras; Wir, uns
somos; Wir sind, sind, Sind
nosotros; wir
su; Ihr, Ihres, seiner
pintar; malen
hermanos; Geschwister
en coche; mit dem Auto
en tren; mit dem Zug
bueno; Also, guter, tolles
viajar; reisen
ustedes; Sie
qué haces; machst du
discoteca; Diskothek, Disco
mirar; schauen
película; Film
escuchar; hören
tiempo libre; Freizeit
salsa; Soße, Tunke, Salsa
es divertido; macht Spaß
cantar; singen
bailar; tanzen
me gusta; Ich ... gerne, Ich mag, mag
muchos; viel, vielen, zahlreiche
parques; Parks
calle; Straße
restaurante; Restaurant, Restaurants
supermercado; Supermarkt
muy; sehr
tiene; hat, ist, haben
terraza; Terrasse
garaje; Garage
jardín; Garten
grande; groß
bonito; schön
con; mit
solo; alleine
gato; Katze
pareja; Paar, Partner
perro; Hund
familia; familien, familie, Familie
lejos; weit weg
piso; Boden, Stockwerk, Wohnung
apartamento; Wohnung, wohnung, Apartment
edificio; Gebäude
vivir; wohnen, leben
pequeño; klein
naranjas; Apfelsinen, orangen, Orangen
mercados; Märkte, Märkten
kilos de; Kilo
bolsas; Taschen, Tüten
este; dieser
mangos; Mangos
piñas; Ananas
tres; drei
naranja; Orange
cuánto cuestan; kosten
mango; Mango
kilo de; Kilo
sandías; Wassermelonen
necesitas; benötigst, brauchen, brauchst
duraznos; Pfirsiche
más; zusätzliche, andere, weiteres
dos; zwei
botella de; Flasche
bolsa; Tasche, Beutel, Börse
mercado; Markt
sandía; Wassermelone
cuánto cuesta; kostet
piña; Ananas
necesito; benötige, Ich brauche, brauche
durazno; Pfirsich
buen tiempo; gutes Wetter
invierno; Winter
octubre; Oktober
diciembre; Dezember
mucho; sehr, unheimlich, viel
sol; Sonne
allí; dort
hoy; heute
no hace; es ist nicht
marzo; März, märz, Der März
primavera; Frühling
septiembre; September
país; Land, Landes
julio; Juli
verano; Sommer
traje de baño; Badeanzug
enero; Januar
calor; heiß, Hitze
ahora; jetzt
abrigo; Mantel
viento; Wind, windig
frío; kalt
otoño; Herbst
uso; Gebrauch, benutze, Bedienung
hace; vor, es ist, macht
música; Musik
arte; Kunst
por la noche; nachts
casa; Haus
estudias; studierst, lernst, nimmst du durch
hablas; sprichst, redest, sprichst du (?)
guau; wow
por la mañana; Früh, in der Früh, früh
alemán; Deutsch
italiano; italienisches, Italienisch, italienischer
un poco de; etwas
muy bien; sehr gut
francés; Französisch
inglés; Englisch
genial; cool
hablar; sprechen
español; Spanisch
portugués; Portugiesisch
y tú; Und du, und du
estudio; Studie, Studium, Lehre
escuela; Schule
no hay; Es gibt kein
mira; schau, Schau, schau mal
estacionamiento; Parkplatz
hotel; Hotel
librería; Buchladen
pueblo; Dorf
parque; Park
oye; hört, hey
en; mit, auf, in
ciudad; Stadt
barrio; Nachbarschaft
